4/13/2018 4:46:12,Shovel Knight (again),Propellor Knight,Polar Knight,Troupple King
4/13/2018 4:51:42,Shovel Knight (again),Shield Knight,Propellor Knight,Polar Knight
4/13/2018 4:54:44,Shovel Knight (again),Specter Knight (again),Treasure Knight,Polar Knight
4/13/2018 4:55:09,Shovel Knight (again),Shield Knight,Black Knight,Tinker Knight
4/13/2018 5:00:08,Shield Knight,Black Knight,Tinker Knight,Propellor Knight
4/13/2018 5:16:04,Shovel Knight (again),Specter Knight (again),Plague Knight (again),Propellor Knight
4/13/2018 5:22:41,Shovel Knight (again),Shield Knight,Polar Knight,Troupple King
4/13/2018 5:26:18,Shovel Knight (again),Shield Knight,Propellor Knight,Phantom Striker
4/13/2018 5:32:59,Shield Knight,Black Knight,Propellor Knight,Polar Knight
4/13/2018 6:06:04,Shield Knight,Black Knight,Tinker Knight,Propellor Knight
4/13/2018 7:02:16,Shovel Knight (again),Shield Knight,Plague Knight (again),The Bard
4/13/2018 7:13:28,Shovel Knight (again),Treasure Knight,Reize,The Bard
4/13/2018 7:15:39,Shovel Knight (again),Black Knight,Mole Knight,Tinker Knight
4/13/2018 7:34:48,Treasure Knight,Mole Knight,Propellor Knight,Mr. Hat
4/13/2018 7:38:51,Mole Knight,Tinker Knight,Polar Knight,The Bard
4/13/2018 7:53:24,Shield Knight,Black Knight,Polar Knight,The Bard
4/13/2018 8:33:12,Propellor Knight,Baz,Reize,Troupple King
4/13/2018 8:49:30,Black Knight,Plague Knight (again),Polar Knight,Mr. Hat
4/13/2018 9:01:32,Shovel Knight (again),Shield Knight,Treasure Knight,Mole Knight
4/13/2018 9:56:25,Black Knight,Tinker Knight,Propellor Knight,Polar Knight
4/13/2018 10:00:21,Treasure Knight,Mole Knight,Polar Knight,Mr. Hat
4/13/2018 10:51:28,Shovel Knight (again),Treasure Knight,Propellor Knight,The Bard
4/13/2018 11:18:17,Shield Knight,Black Knight,Tinker Knight,Polar Knight
4/13/2018 11:41:47,Shovel Knight (again),Black Knight,Tinker Knight,Propellor Knight
4/13/2018 12:03:44,Shield Knight,Black Knight,Tinker Knight,Propellor Knight
4/13/2018 12:46:33,Shovel Knight (again),Black Knight,Propellor Knight,The Bard
4/13/2018 13:13:23,Shield Knight,Black Knight,Tinker Knight,Propellor Knight
4/13/2018 13:15:11,Shield Knight,Black Knight,Tinker Knight,Polar Knight
4/13/2018 13:32:53,Shovel Knight (again),Shield Knight,Black Knight,Tinker Knight
4/13/2018 13:44:33,Black Knight,Tinker Knight,Propellor Knight,Polar Knight
4/13/2018 14:06:28,Tinker Knight,Propellor Knight,Polar Knight,The Bard
4/13/2018 14:15:35,Black Knight,Propellor Knight,Reize,Phantom Striker
4/13/2018 14:55:30,Shovel Knight (again),Treasure Knight,Tinker Knight,Polar Knight
4/13/2018 15:04:27,Shield Knight,Black Knight,Tinker Knight,Polar Knight
4/13/2018 15:12:00,Shield Knight,Mole Knight,Tinker Knight,Polar Knight
4/13/2018 15:15:27,Shovel Knight (again),Black Knight,Specter Knight (again),Propellor Knight
4/13/2018 15:56:30,Shield Knight,Black Knight,Tinker Knight,Reize
4/13/2018 15:56:57,Reize,Mr. Hat,The Bard,Troupple King
4/13/2018 16:17:36,Shield Knight,Reize,The Bard,Troupple King
4/13/2018 16:37:31,Black Knight,Mole Knight,Tinker Knight,Polar Knight
4/13/2018 16:51:13,Shovel Knight (again),Shield Knight,Black Knight,Polar Knight
4/13/2018 17:31:39,Polar Knight,Baz,Reize,The Bard
4/13/2018 17:43:12,Propellor Knight,Polar Knight,Mr. Hat,Phantom Striker
4/13/2018 18:38:05,Specter Knight (again),Plague Knight (again),Propellor Knight,Phantom Striker
4/13/2018 19:04:26,Tinker Knight,Polar Knight,Baz,Troupple King
4/13/2018 20:19:53,Mole Knight,Propellor Knight,Polar Knight,Baz
4/13/2018 20:44:39,Shovel Knight (again),Shield Knight,Treasure Knight,Tinker Knight
4/13/2018 22:17:21,Tinker Knight,Polar Knight,Phantom Striker,Troupple King
4/14/2018 0:56:18,Mole Knight,Tinker Knight,Polar Knight,Troupple King
4/14/2018 2:25:23,Treasure Knight,Mole Knight,Tinker Knight,Propellor Knight
